,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
18057,61143962,SANDUSDT,30,30,1650457800,1650457800,273819,2.9993,3.0063,2.9819,2.9877,820112.5296
18058,61151803,SANDUSDT,30,30,1650459600,1650459600,783501,2.9877,2.9877,2.9541,2.9687,2325902.7192
18059,61159339,SANDUSDT,30,30,1650461400,1650461400,2231424,2.9687,2.9706,2.8397,2.914,6477751.8092
18060,61167406,SANDUSDT,30,30,1650463200,1650463200,524556,2.914,2.928,2.8887,2.9171,1528342.6216
18061,61175411,SANDUSDT,30,30,1650465000,1650465000,255931,2.9171,2.9309,2.8973,2.904,746987.1434
18062,61183003,SANDUSDT,30,30,1650466800,1650466800,808581,2.904,2.9055,2.861,2.8834,2325416.1351
18063,61191095,SANDUSDT,30,30,1650468600,1650468600,214426,2.8834,2.896,2.8767,2.8846,618931.5725
18064,61199105,SANDUSDT,30,30,1650470400,1650470400,469415,2.8846,2.8846,2.8519,2.873,1345019.2798
18065,61207298,SANDUSDT,30,30,1650472200,1650472200,226888,2.873,2.8898,2.8688,2.8855,654193.5653
18066,61215094,SANDUSDT,30,30,1650474000,1650474000,192856,2.8855,2.891,2.8709,2.8773,556030.4823
18067,61222760,SANDUSDT,30,30,1650475800,1650475800,146539,2.8773,2.888,2.872,2.8836,421926.3697
18068,61230793,SANDUSDT,30,30,1650477600,1650477600,453897,2.8836,2.8836,2.8327,2.8483,1294871.3699
18069,61238772,SANDUSDT,30,30,1650479400,1650479400,561058,2.8483,2.8559,2.8134,2.8395,1589168.0292
18070,61246685,SANDUSDT,30,30,1650481200,1650481200,158499,2.8395,2.853,2.8324,2.8441,450792.1359
18071,61254340,SANDUSDT,30,30,1650483000,1650483000,253725,2.8441,2.85,2.8329,2.8381,720850.4771
18072,61262289,SANDUSDT,30,30,1650484800,1650484800,619725,2.8381,2.851,2.8046,2.8174,1750472.2463
18073,61270363,SANDUSDT,30,30,1650486600,1650486600,175724,2.8174,2.8518,2.8174,2.8494,498475.8504
18074,61278162,SANDUSDT,30,30,1650488400,1650488400,169760,2.8494,2.8624,2.8436,2.8624,484290.7211
18075,61286125,SANDUSDT,30,30,1650490200,1650490200,174677,2.8624,2.8699,2.8529,2.8691,499953.2207
18076,61293950,SANDUSDT,30,30,1650492000,1650492000,223226,2.8691,2.8835,2.8664,2.8721,641249.3287
18077,61302503,SANDUSDT,30,30,1650493800,1650493800,113798,2.8721,2.8848,2.8688,2.8805,327574.3446
18078,61309725,SANDUSDT,30,30,1650495600,1650495600,307449,2.8805,2.8815,2.8485,2.8593,878904.2863
18079,61317520,SANDUSDT,30,30,1650497400,1650497400,163822,2.8593,2.8654,2.8387,2.8603,467505.1971
18080,61325910,SANDUSDT,30,30,1650499200,1650499200,226519,2.8603,2.8838,2.8548,2.8769,650942.3528
18081,61334184,SANDUSDT,30,30,1650501000,1650501000,125974,2.8769,2.8856,2.8718,2.8757,362733.3649
18082,61342246,SANDUSDT,30,30,1650502800,1650502800,118052,2.8757,2.8862,2.8675,2.8841,339695.2245
18083,61350011,SANDUSDT,30,30,1650504600,1650504600,91237,2.8841,2.8951,2.8799,2.8875,263376.5586
18084,61357818,SANDUSDT,30,30,1650506400,1650506400,181518,2.8875,2.903,2.8832,2.8904,524961.3546
18085,61365545,SANDUSDT,30,30,1650508200,1650508200,93022,2.8904,2.8972,2.8752,2.8906,268389.4039
18086,61373595,SANDUSDT,30,30,1650510000,1650510000,64886,2.8906,2.8926,2.8736,2.8811,187024.0449
18087,61381513,SANDUSDT,30,30,1650511800,1650511800,66046,2.8811,2.895,2.8776,2.8938,190690.4043
18088,61389814,SANDUSDT,30,30,1650513600,1650513600,271790,2.8938,2.912,2.8783,2.8925,787852.4084
18089,61397294,SANDUSDT,30,30,1650515400,1650515400,139152,2.8925,2.8976,2.881,2.8903,401783.4077
18090,61405480,SANDUSDT,30,30,1650517200,1650517200,132107,2.8903,2.9022,2.8892,2.895,382470.8253
18091,61413010,SANDUSDT,30,30,1650519000,1650519000,483179,2.895,2.8952,2.8458,2.8507,1383326.3131
18092,61421421,SANDUSDT,30,30,1650520800,1650520800,236400,2.8507,2.8671,2.8341,2.866,673913.6457
18093,61429124,SANDUSDT,30,30,1650522600,1650522600,117121,2.866,2.871,2.8466,2.8525,335034.0734
18094,61436921,SANDUSDT,30,30,1650524400,1650524400,109726,2.8525,2.8685,2.8421,2.8653,313067.7015
18095,61444717,SANDUSDT,30,30,1650526200,1650526200,276951,2.8653,2.8928,2.8606,2.8838,796612.8396
18096,61452833,SANDUSDT,30,30,1650528000,1650528000,648695,2.8838,2.9055,2.8754,2.8937,1875689.782
18097,61460856,SANDUSDT,30,30,1650529800,1650529800,274556,2.8937,2.9018,2.8836,2.8915,793824.2845
18098,61468562,SANDUSDT,30,30,1650531600,1650531600,224158,2.8915,2.8915,2.8616,2.8736,644098.0724
18099,61476758,SANDUSDT,30,30,1650533400,1650533400,228958,2.8736,2.8792,2.8432,2.8595,653640.8755
18100,61484366,SANDUSDT,30,30,1650535200,1650535200,482074,2.8595,2.8973,2.855,2.882,1389356.7681
18101,61492307,SANDUSDT,30,30,1650537000,1650537000,182583,2.882,2.9018,2.8762,2.8869,527753.147
18102,61500131,SANDUSDT,30,30,1650538800,1650538800,273878,2.8869,2.9224,2.8869,2.9154,796557.2064
18103,61508163,SANDUSDT,30,30,1650540600,1650540600,361325,2.9154,2.933,2.903,2.9067,1055799.6069
